name,latitude,longitude
46LGN,-10.922812174524312,95.41968810197756
46LGP,-10.438781258051655,95.4145983621552
46LGQ,-9.534890812864356,95.41069853983444
46LGR,-8.631495500218566,95.40716921412914
46LHN,-10.918963709457564,96.25137919466438
46LHP,-10.430821045279643,96.24074793212732
46LHQ,-9.527645757509914,96.23181943405903
46LHR,-8.624958055235542,96.22373914846254
46MGA,-4.111795350799362,95.39489990676714
46MGB,-3.2082093104960947,95.393502437097
46MGC,-2.30406474910283,95.39245098849379
46MGD,-1.3999085704343177,95.39174520748
46MGE,-0.4962877183390053,95.39138433974504
46MGS,-7.727515116086934,95.40400167879456
46MGT,-6.823496256416899,95.40119417363472
46MGU,-5.919985651648547,95.39874454623084
46MGV,-5.015903088855393,95.39664680018225
46MHA,-4.108716011827838,96.19564875163059
46MHB,-3.2058097611055136,96.1924492490214
46MHC,-2.30234311501305,96.19004195686797
46MHD,-1.3988632164732706,96.18842607067278
46MHE,-0.49591724852723384,96.18759986265552
46MHS,-7.721679320626132,96.21648715020447
46MHT,-6.818356441647487,96.21005941718757
46MHU,-5.915536437986157,96.20445102647057
46MHV,-5.01214061413398,96.19964825533319
46NGF,0.40787802733773426,95.39136750814937
46NGG,1.3120417132274378,95.39169501166997
46NGH,2.215656395508102,95.39236674674761
46NGJ,3.119802293062645,95.39338434602107
46NGK,4.023932476319595,95.39474876286656
46NGL,4.927500070810426,95.39646055054341
46NGM,5.667669538870407,95.39845430302174
46NHF,0.4075735581409514,96.18756132687832
46NHG,1.3110620172940914,96.18831114730344
46NHH,2.2140009500186717,96.18984908543965
46NHJ,3.1174691211061116,96.19217887870647
46NHK,4.020919357806224,96.1953027087753
46NHL,4.9238045414673985,96.1992218378677
46NHM,5.665670321695398,96.20374613166067
47LKH,-10.923445645111668,96.7533851450398
47LKJ,-10.439415685675414,96.7609265689168
47LKK,-9.535482193064365,96.76710223672474
47LKL,-8.632040549069913,96.77269116396776
47LLH,-10.926105664562435,97.6698000412856
47LLJ,-10.44451492114366,97.67434159596502
47LLK,-9.540131565239705,97.6780003505398
47LLL,-8.63624259336398,97.68131147506621
47LMH,-10.927402746870907,98.58613338576126
47LMJ,-10.44700091788858,98.58755870415749
47LMK,-9.542398238974709,98.58869738826748
47LML,-8.638291180140742,98.58972787976793
47LNH,-10.927336281548257,99.50316497495012
47LNJ,-10.446873538248044,99.50143290201636
47LNK,-9.5422820969675,99.50004854919791
47LNL,-8.63818621287283,99.49879573083363
47LPH,-10.925905192726304,100.42001638861764
47LPJ,-10.444130665989597,100.41517455823123
47LPK,-9.539781210302776,100.41126893655408
47LPL,-8.635925946797197,100.40773439960859
47LQH,-10.923113950742131,101.33581942928704
47LQJ,-10.43877973864213,101.3279945425027
47LQK,-9.534902349224295,101.32157414582095
47LQL,-8.631516493201827,101.31576373728248
47LRH,-10.918963709457564,102.25137919466438
47LRJ,-10.430821045279643,102.24074793212732
47LRK,-9.527645757509914,102.23181943405902
47LRL,-8.624958055235542,102.22373914846256
47MKM,-7.728010846962185,96.77770714609373
47MKN,-6.823940049571144,96.78215297818349
47MKP,-5.920375251026752,96.78603207660213
47MKQ,-5.016236496228378,96.78935394332461
47MKR,-4.112070913670844,96.79212021222898
47MKS,-3.2084257196532158,96.7943331503997
47MKT,-2.3042209266084135,96.79599815065338
47MKU,-1.4000037689614284,96.79711577311254
47MKV,-0.4963215233363263,96.79768721661355
47MLM,-7.731767330782302,97.6842831485369
47MLN,-6.8272527858893195,97.68691703062883
47MLP,-5.923246097049531,97.68921514965484
47MLQ,-5.018666559968779,97.69118313772914
47MLR,-4.114061355701205,97.69282196647349
47MLS,-3.2099777490989174,97.69413298090288
47MLT,-2.305335017226647,97.69511937803627
47MLU,-1.400680449645088,97.6957814911289
47MLV,-0.4965613761931239,97.69612003091508
47MMM,-7.733598694810459,98.59065272443684
47MMN,-6.828867811497943,98.59147244062576
47MMP,-5.924645690265722,98.59218765876133
47MMQ,-5.01985126255464,98.59280013325227
47MMR,-4.1150317327804276,98.5933101667986
47MMS,-3.2107343917394844,98.59371817775887
47MMT,-2.305878156059916,98.59402516168572
47MMU,-1.4010103433261023,98.59423122321559
47MMV,-0.496678308653304,98.59433658239693
47MNM,-7.733504857885408,99.4976713525693
47MNN,-6.828785059515811,99.49667478451208
47MNP,-5.924573976992437,99.4958052588654
47MNQ,-5.019790559502264,99.49506064375056
47MNR,-4.114982011792866,99.49444057160905
47MNS,-3.210695621909092,99.49394453247673
47MNT,-2.305850326394089,99.49357131668799
47MNU,-1.4009934402459434,99.49332079834322
47MNV,-0.49667231741241974,99.49319270771956
47MPM,-7.731484259892649,100.40456221682521
47MPN,-6.82700315414492,100.4017506161554
47MPP,-5.923029763915406,100.39929743357875
47MPQ,-5.018483442564687,100.39719665643064
47MPR,-4.113911365976569,100.39544724839733
47MPS,-3.2098607959985106,100.3940477731066
47MPT,-2.305251064853015,100.3929948188446
47MPU,-1.4006294583433374,100.39228802959245
47MPV,-0.49654330222572324,100.39192664652386
47MQM,-7.727542357994756,101.31054897585817
47MQN,-6.823526901756877,101.30592695643173
47MQP,-5.920017213695192,101.30189412818501
47MQQ,-5.01593343093845,101.29844061417154
47MQR,-4.111822675810255,101.29556471549061
47MQS,-3.208232158350682,101.29326407578438
47MQT,-2.304081982144376,101.29153308954147
47MQU,-1.3999193768605427,101.29037117304577
47MQV,-0.49629161011598283,101.2897770822818
47MRM,-7.721679320626132,102.21648715020446
47MRN,-6.818356441647487,102.21005941718757
47MRP,-5.915536437986157,102.20445102647057
